Institution,Address,City,State,Classification,EFMaleCount,EFFemaleCount,EFTotalCount,STUDENTAID_MEN,STUDENTAID_WOMEN,STUAID_MEN_RATIO,STUAID_WOMEN_RATIO,RECRUITEXP_MEN,RECRUITEXP_WOMEN,Participants_MEN_Baseball,Participants_MEN_Bskball,Participants_MEN_FldHcky,Participants_MEN_Football,Participants_MEN_Golf,Participants_MEN_IceHcky,Participants_MEN_Lacrsse,Participants_MEN_Soccer,Participants_MEN_Softball,Participants_MEN_Tennis,Participants_MEN_XCountry,Participants_MEN_Vollball,Participants_WOMEN_Baseball,Participants_WOMEN_Bskball,Participants_WOMEN_FldHcky,Participants_WOMEN_Football,Participants_WOMEN_Golf,Participants_WOMEN_IceHcky,Participants_WOMEN_Lacrsse,Participants_WOMEN_Soccer,Participants_WOMEN_Softball,Participants_WOMEN_Tennis,Participants_WOMEN_XCountry,Participants_WOMEN_Vollball,OPEXPPERTEAM_MEN_Baseball,OPEXPPERTEAM_MEN_Bskball,OPEXPPERTEAM_MEN_FldHcky,OPEXPPERTEAM_MEN_Football,OPEXPPERTEAM_MEN_Golf,OPEXPPERTEAM_MEN_IceHcky,OPEXPPERTEAM_MEN_Lacrsse,OPEXPPERTEAM_MEN_Soccer,OPEXPPERTEAM_MEN_Softball,OPEXPPERTEAM_MEN_Tennis,OPEXPPERTEAM_MEN_XCountry,OPEXPPERTEAM_MEN_Vollball,OPEXPPERTEAM_WOMEN_Baseball,OPEXPPERTEAM_WOMEN_Bskball,OPEXPPERTEAM_WOMEN_FldHcky,OPEXPPERTEAM_WOMEN_Football,OPEXPPERTEAM_WOMEN_Golf,OPEXPPERTEAM_WOMEN_IceHcky,OPEXPPERTEAM_WOMEN_Lacrsse,OPEXPPERTEAM_WOMEN_Soccer,OPEXPPERTEAM_WOMEN_Softball,OPEXPPERTEAM_WOMEN_Tennis,OPEXPPERTEAM_WOMEN_XCountry,OPEXPPERTEAM_WOMEN_Vollball,REV_MEN_Baseball,REV_MEN_Bskball,REV_MEN_FldHcky,REV_MEN_Football,REV_MEN_Golf,REV_MEN_IceHcky,REV_MEN_Lacrsse,REV_MEN_Soccer,REV_MEN_Softball,REV_MEN_Tennis,REV_MEN_XCountry,REV_MEN_Vollball,REV_WOMEN_Baseball,REV_WOMEN_Bskball,REV_WOMEN_FldHcky,REV_WOMEN_Football,REV_WOMEN_Golf,REV_WOMEN_IceHcky,REV_WOMEN_Lacrsse,REV_WOMEN_Soccer,REV_WOMEN_Softball,REV_WOMEN_Tennis,REV_WOMEN_XCountry,REV_WOMEN_Vollball,EXP_MEN_Baseball,EXP_MEN_Bskball,EXP_MEN_FldHcky,EXP_MEN_Football,EXP_MEN_Golf,EXP_MEN_IceHcky,EXP_MEN_Lacrsse,EXP_MEN_Soccer,EXP_MEN_Softball,EXP_MEN_Tennis,EXP_MEN_XCountry,EXP_MEN_Vollball,EXP_WOMEN_Baseball,EXP_WOMEN_Bskball,EXP_WOMEN_FldHcky,EXP_WOMEN_Football,EXP_WOMEN_Golf,EXP_WOMEN_IceHcky,EXP_WOMEN_Lacrsse,EXP_WOMEN_Soccer,EXP_WOMEN_Softball,EXP_WOMEN_Tennis,EXP_WOMEN_XCountry,EXP_WOMEN_Vollball
Alabama A & M University,4900 Meridian Street,Normal,AL,NCAA Division I-FCS,1823,2706,4529,2035785.0,1628947.0,56,44,52365.0,44874.0,37.0,14.0,0.0,96.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,31.0,24.0,8.0,6.0,21.0,124310.0,402945.0,0.0,1124376.0,20325.0,0.0,0.0,0.0,0.0,7345.0,0.0,0.0,0.0,399210.0,0.0,0.0,0.0,0.0,0.0,57843.0,29765.0,15895.0,49575.0,57955.0,275210.0,1450494.0,0.0,4119664.0,64347.0,0.0,0.0,0.0,0.0,103652.0,0.0,0.0,0.0,1258462.0,0.0,0.0,0.0,0.0,0.0,494874.0,292408.0,144623.0,22465.0,198751.0,297153.0,1132578.0,0.0,3437529.0,59524.0,0.0,0.0,0.0,0.0,151865.0,0.0,0.0,0.0,1067456.0,0.0,0.0,0.0,0.0,0.0,355614.0,379150.0,194398.0,73125.0,395914.0
University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,NCAA Division I-FBS,3924,6442,10366,4587099.0,3277367.0,58,41,367915.0,244593.0,41.0,16.0,0.0,138.0,12.0,0.0,0.0,36.0,0.0,8.0,0.0,0.0,0.0,16.0,0.0,0.0,9.0,0.0,0.0,29.0,24.0,9.0,0.0,17.0,279011.0,1005858.0,0.0,2321990.0,135243.0,0.0,0.0,100895.0,0.0,49491.0,0.0,0.0,0.0,506243.0,0.0,0.0,74812.0,0.0,0.0,138223.0,237723.0,56979.0,0.0,138534.0,1408765.0,4584655.0,0.0,14159598.0,512681.0,0.0,0.0,867497.0,0.0,369796.0,0.0,0.0,0.0,2237831.0,0.0,0.0,399794.0,0.0,0.0,974821.0,978788.0,457260.0,0.0,926232.0,1288785.0,4334009.0,0.0,14159598.0,479143.0,0.0,0.0,852747.0,0.0,351483.0,0.0,0.0,0.0,2101925.0,0.0,0.0,384915.0,0.0,0.0,932145.0,958405.0,442383.0,0.0,911354.0
University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,NCAA Division II without football,3726,2491,6217,1175078.0,1408664.0,45,55,14215.0,18048.0,41.0,16.0,0.0,0.0,0.0,0.0,47.0,31.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,29.0,30.0,24.0,0.0,0.0,18.0,168762.0,143223.0,0.0,0.0,0.0,0.0,91391.0,39726.0,0.0,0.0,0.0,0.0,0.0,68459.0,0.0,0.0,0.0,0.0,114141.0,34090.0,147831.0,0.0,0.0,74948.0,556825.0,643494.0,0.0,0.0,0.0,0.0,471907.0,386894.0,0.0,0.0,0.0,0.0,0.0,497306.0,0.0,0.0,0.0,0.0,534680.0,400511.0,622184.0,0.0,0.0,419598.0,556825.0,643494.0,0.0,0.0,0.0,0.0,471907.0,386894.0,0.0,0.0,0.0,0.0,0.0,497306.0,0.0,0.0,0.0,0.0,534680.0,400511.0,622184.0,0.0,0.0,419598.0
Alabama State University,915 S Jackson Street,Montgomery,AL,NCAA Division I-FCS,1053,2002,3055,2091314.0,1631243.0,56,44,142386.0,43337.0,36.0,16.0,0.0,103.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,15.0,0.0,0.0,6.0,0.0,0.0,23.0,22.0,8.0,0.0,20.0,82480.0,123813.0,0.0,642845.0,10215.0,0.0,0.0,0.0,0.0,6998.0,0.0,0.0,0.0,73814.0,0.0,0.0,14462.0,0.0,0.0,24050.0,14484.0,5586.0,0.0,34583.0,587970.0,832435.0,0.0,3845661.0,162627.0,0.0,0.0,0.0,0.0,144602.0,0.0,0.0,0.0,816769.0,0.0,0.0,130164.0,0.0,0.0,419937.0,444843.0,228019.0,0.0,502847.0,587970.0,832435.0,0.0,3845661.0,162627.0,0.0,0.0,0.0,0.0,144602.0,0.0,0.0,0.0,816769.0,0.0,0.0,130164.0,0.0,0.0,419937.0,444843.0,228019.0,0.0,502847.0
The University of Alabama,739 University Blvd,Tuscaloosa,AL,NCAA Division I-FBS,12366,15708,28074,9205036.0,8116642.0,53,47,3217200.0,606889.0,42.0,19.0,0.0,136.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,27.0,0.0,0.0,10.0,0.0,0.0,32.0,23.0,9.0,0.0,18.0,1343564.0,1631746.0,0.0,10956883.0,96329.0,0.0,0.0,0.0,0.0,185620.0,0.0,0.0,0.0,840559.0,0.0,0.0,161835.0,0.0,0.0,350721.0,613221.0,225638.0,0.0,341828.0,1316454.0,19047972.0,0.0,127603129.0,349878.0,0.0,0.0,0.0,0.0,200037.0,0.0,0.0,0.0,1016698.0,0.0,0.0,527302.0,0.0,0.0,1049969.0,1550656.0,503961.0,0.0,772218.0,4377059.0,10900723.0,0.0,75005971.0,1162451.0,0.0,0.0,0.0,0.0,962806.0,0.0,0.0,0.0,4210790.0,0.0,0.0,1232102.0,0.0,0.0,2306718.0,3064306.0,986719.0,0.0,2577454.0
Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,NJCAA Division I,233,257,490,195360.0,202075.0,49,51,0.0,0.0,38.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,0.0,0.0,79888.0,0.0,0.0,0.0,66939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61872.0,23117.0,0.0,0.0,335176.0,0.0,0.0,0.0,150462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277676.0,104274.0,0.0,0.0,283496.0,0.0,0.0,0.0,142331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268376.0,102614.0,0.0,0.0
Auburn University at Montgomery,7440 East Drive,Montgomery,AL,NCAA Division II without football,979,1933,2912,976029.0,1296145.0,43,57,6076.0,14665.0,37.0,14.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,9.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,27.0,21.0,9.0,11.0,14.0,77225.0,63109.0,0.0,0.0,0.0,0.0,0.0,60580.0,0.0,27569.0,17881.0,0.0,0.0,65331.0,0.0,0.0,0.0,0.0,0.0,64151.0,128453.0,32787.0,18231.0,42386.0,415036.0,475697.0,0.0,0.0,0.0,0.0,0.0,525932.0,0.0,193146.0,154069.0,0.0,0.0,467616.0,0.0,0.0,0.0,0.0,0.0,413647.0,542618.0,263568.0,206991.0,378256.0,402167.0,467689.0,0.0,0.0,0.0,0.0,0.0,485715.0,0.0,193823.0,166791.0,0.0,0.0,465926.0,0.0,0.0,0.0,0.0,0.0,462950.0,488401.0,262534.0,208462.0,401753.0
Auburn University,182 S. College Street,Auburn University,AL,NCAA Division I-FBS,11290,11384,22674,9084209.0,7871271.0,54,46,1969628.0,736996.0,44.0,18.0,0.0,116.0,13.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,23.0,0.0,0.0,12.0,0.0,0.0,35.0,24.0,8.0,0.0,18.0,1614313.0,2626272.0,0.0,5420431.0,300139.0,0.0,0.0,0.0,0.0,355614.0,0.0,0.0,0.0,1223702.0,0.0,0.0,287193.0,0.0,0.0,460061.0,856044.0,352443.0,0.0,426370.0,1833285.0,17007845.0,0.0,106726055.0,387845.0,0.0,0.0,0.0,0.0,171273.0,0.0,0.0,0.0,493095.0,0.0,0.0,196876.0,0.0,0.0,396108.0,666283.0,191682.0,0.0,260056.0,5956633.0,13813577.0,0.0,52254828.0,1715204.0,0.0,0.0,0.0,0.0,1243902.0,0.0,0.0,0.0,5155528.0,0.0,0.0,1593099.0,0.0,0.0,2663138.0,2920116.0,1535696.0,0.0,2291852.0
Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,NCAA Division III with football,504,535,1039,0.0,0.0,0,0,78729.0,26321.0,45.0,22.0,0.0,123.0,10.0,0.0,30.0,30.0,0.0,10.0,0.0,0.0,0.0,19.0,0.0,0.0,5.0,0.0,21.0,28.0,21.0,7.0,0.0,17.0,181437.0,166883.0,0.0,243238.0,28403.0,0.0,111400.0,59303.0,0.0,34453.0,0.0,0.0,0.0,66233.0,0.0,0.0,13989.0,0.0,75322.0,67042.0,85533.0,22063.0,0.0,72149.0,367989.0,294059.0,0.0,630378.0,91057.0,0.0,225577.0,213290.0,0.0,82284.0,0.0,0.0,0.0,172248.0,0.0,0.0,46908.0,0.0,105612.0,165194.0,192499.0,84125.0,0.0,158724.0,367989.0,294059.0,0.0,630378.0,91057.0,0.0,225577.0,213290.0,0.0,82284.0,0.0,0.0,0.0,172248.0,0.0,0.0,46908.0,0.0,105612.0,165194.0,192499.0,84125.0,0.0,158724.0
Chattahoochee Valley Community College,2602 College Drive,Phenix City,AL,NJCAA Division I,180,290,470,214594.0,251928.0,46,54,0.0,0.0,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,27059.0,18150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16359.0,0.0,0.0,0.0,0.0,0.0,0.0,19532.0,0.0,0.0,0.0,270385.0,203240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163225.0,0.0,0.0,0.0,0.0,0.0,0.0,269954.0,0.0,0.0,0.0,269496.0,202350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162335.0,0.0,0.0,0.0,0.0,0.0,0.0,269064.0,0.0,0.0,0.0
